YEAR,DECJAN,JANFEB,FEBMAR,MARAPR,APRMAY,MAYJUN,JUNJUL,JULAUG,AUGSEP,SEPOCT,OCTNOV,NOVDEC
1979,0.470,0.260,-0.080,0.200,0.270,-0.150,-0.140,0.440,0.380,0.240,0.520,0.650
1980,0.350,0.190,0.410,0.590,0.550,0.620,0.620,0.150,0.200,0.090,-0.030,-0.060
1981,-0.330,-0.240,0.330,0.410,-0.270,-0.600,-0.510,-0.310,-0.010,-0.100,-0.220,-0.160
1982,-0.380,-0.470,-0.280,-0.340,-0.030,0.780,1.790,2.020,1.810,1.930,2.280,2.480
1983,2.570,2.740,2.680,2.790,2.890,2.020,0.750,-0.110,-0.410,-0.430,-0.430,-0.430
1984,-0.500,-0.520,-0.110,0.090,-0.470,-0.720,-0.310,-0.150,-0.110,-0.150,-0.580,-0.310
1985,-0.250,-0.580,-0.600,-0.760,-1.220,-0.570,-0.020,-0.370,-0.440,-0.040,0.000,-0.340
1986,-0.360,-0.300,-0.390,-0.520,-0.180,0.120,0.560,1.050,1.310,0.570,0.650,1.060
1987,0.980,1.080,1.470,1.660,1.910,2.020,1.920,1.480,1.230,1.130,0.850,0.750
1988,0.590,0.310,0.190,-0.010,-0.360,-1.190,-1.770,-1.790,-1.770,-1.540,-1.610,-1.490
1989,-1.090,-1.060,-1.200,-1.090,-1.040,-1.020,-1.120,-0.730,-0.610,-0.560,-0.330,-0.020
1990,0.120,0.430,0.610,0.170,0.030,0.040,0.170,0.060,0.210,-0.060,0.120,0.280
1991,0.160,0.080,0.210,0.210,0.350,0.890,0.880,0.420,0.620,1.090,1.170,1.290
1992,1.700,1.590,1.720,1.980,1.690,1.580,0.760,0.080,0.500,0.810,0.730,0.780
1993,0.830,0.930,0.780,0.980,1.480,1.500,0.910,0.620,0.640,0.950,0.700,0.260
1994,0.020,-0.170,-0.210,0.030,0.000,0.250,0.880,0.840,1.060,1.470,0.990,0.870
1995,0.770,0.480,0.140,0.180,0.160,-0.000,-0.250,-0.650,-0.860,-0.650,-0.670,-0.820
1996,-0.830,-0.810,-0.640,-0.690,-0.830,-0.900,-0.760,-0.600,-0.260,-0.310,-0.300,-0.450
1997,-0.660,-0.720,-0.290,0.170,0.680,2.250,2.110,2.200,2.170,2.010,2.060,2.030
1998,2.230,2.430,2.270,2.550,2.260,0.370,-1.420,-1.740,-1.310,-1.210,-1.300,-1.250
1999,-1.260,-1.180,-1.110,-1.170,-1.360,-1.260,-1.190,-1.070,-1.170,-1.310,-1.330,-1.430
2000,-1.260,-1.270,-1.360,-0.930,-0.970,-1.140,-0.580,-0.080,-0.360,-0.550,-0.910,-0.800
2001,-0.820,-0.870,-0.790,-0.610,-0.580,-0.710,-0.020,0.340,-0.070,-0.250,-0.320,0.020
2002,0.070,-0.260,-0.200,-0.360,-0.100,0.400,0.420,0.970,0.840,0.790,0.760,0.860
2003,0.800,0.620,0.530,-0.080,-0.570,-0.070,0.010,0.010,0.140,0.260,0.290,0.100
2004,0.160,-0.040,-0.440,-0.230,-0.440,-0.340,0.430,0.740,0.540,0.340,0.510,0.510
2005,0.080,0.610,0.820,0.130,0.180,0.200,-0.020,-0.010,-0.050,-0.710,-0.750,-0.730
2006,-0.680,-0.500,-0.610,-0.840,-0.430,-0.230,0.110,0.560,0.630,0.680,0.900,0.590
2007,0.620,0.390,-0.220,-0.360,-0.440,-0.860,-0.770,-0.930,-1.100,-1.140,-1.130,-1.220
2008,-1.080,-1.270,-1.540,-1.130,-0.980,-0.860,-0.870,-1.080,-1.070,-1.120,-1.050,-1.050
2009,-1.010,-0.850,-0.940,-0.810,-0.720,-0.060,0.490,0.520,0.390,0.560,1.050,0.960
2010,0.930,1.280,1.310,0.490,-0.170,-1.330,-2.430,-2.400,-2.280,-2.180,-2.040,-1.910
2011,-1.830,-1.630,-1.790,-1.740,-1.290,-1.080,-0.860,-0.880,-1.160,-1.370,-1.210,-1.240
2012,-1.080,-0.670,-0.590,-0.430,-0.350,-0.280,0.300,-0.060,-0.320,-0.220,-0.070,-0.070
2013,-0.050,-0.070,-0.140,-0.370,-0.710,-1.180,-0.850,-0.500,-0.380,-0.160,-0.180,-0.350
2014,-0.510,-0.430,-0.080,-0.160,-0.180,-0.010,0.320,0.160,-0.150,0.070,0.340,0.340
2015,0.230,0.050,0.130,0.350,0.960,1.850,1.730,1.920,2.210,2.110,1.880,1.900
2016,1.940,1.810,1.310,1.330,1.260,0.360,-0.510,-0.280,-0.340,-0.600,-0.510,-0.340
2017,-0.410,-0.410,-0.580,-0.210,0.170,-0.290,-0.700,-0.770,-0.800,-0.630,-0.630,-0.730
2018,-0.770,-0.700,-0.790,-1.290,-0.910,-0.510,-0.170,0.360,0.520,0.410,0.260,0.130
2019,0.080,0.520,0.770,0.330,0.260,0.350,0.240,0.300,0.150,0.270,0.450,0.410
2020,0.290,0.300,0.150,-0.110,-0.240,-0.730,-1.000,-0.990,-1.190,,,
